2020_Passenger_Rank, Airport_Name , City_Name , State_Name , Average_Fare , Sample_Size 
282,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,307.89,991
283,Ralph Wien Memorial,Kotzebue,AK,507.7,974
284,Nantucket Memorial,Nantucket,MA,451.04,970
285,Southwest Georgia Regional,Albany,GA,409.69,954
286,East Texas Regional,Longview,TX,350.19,935
287,Brunswick Golden Isles,Brunswick,GA,456.76,933
288,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,114.54,925
289,Yellowstone Regional,Cody,WY,502.11,917
290,Aberdeen Regional,Aberdeen,SD,495.98,901
291,North Central West Virginia,Clarksburg/Fairmont,WV,194.47,895
292,Pellston Regional Airport of Emmet County,Pellston,MI,516.17,877
293,Stillwater Regional,Stillwater,OK,339.9,793
294,Gillette Campbell County,Gillette,WY,467.77,786
295,Florence Regional,Florence,SC,346.73,774
296,Brainerd Lakes Regional,Brainerd,MN,465.74,766
297,Bert Mooney,Butte,MT,408.09,745
298,Rhinelander/Oneida County,Rhinelander,WI,503.75,732
299,Chippewa County International,Sault Ste. Marie,MI,477.3,728
300,Elko Regional,Elko,NV,528.38,725
301,Tweed New Haven,New Haven,CT,284.72,708
302,Francisco C. Ada Saipan International,Saipan,TT,852.59,700
303,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,98.56,691
304,Watertown International,Watertown,NY,316.22,689
305,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,429.79,686
305,Gunnison-Crested Butte Regional,Gunnison,CO,421.67,686
307,Dubuque Regional,Dubuque,IA,430.99,670
308,Ford,Iron Mountain/Kingsfd,MI,444.09,661
309,Ogdensburg International,Ogdensburg,NY,476.22,637
310,King Salmon Airport,King Salmon,AK,470.63,633
311,Kearney Regional,Kearney,NE,408.9,603
312,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,341.13,598
313,Key Field,Meridian,MS,494.4,551
314,Chippewa Valley Regional,Eau Claire,WI,350.81,541
315,Southwest Wyoming Regional,Rock Springs,WY,484.71,536
316,Range Regional,Hibbing,MN,477.53,534
317,Laramie Regional,Laramie,WY,382.54,532
318,Houghton County Memorial,Hancock/Houghton,MI,448.34,527
319,Martha's Vineyard Airport,Martha's Vineyard,MA,435.1,523
320,Lea County Regional,Hobbs,NM,286.04,509
321,Petersburg James A Johnson,Petersburg,AK,466.81,507
322,Merle K Mudhole Smith,Cordova,AK,395.01,487
323,Del Rio International,Del Rio,TX,396.88,483
324,Delta County,Escanaba,MI,446.59,477
325,Owensboro Daviess County Regional,Owensboro,KY,117.62,459
326,Williamsport Regional,Williamsport,PA,311.87,456
327,Sheridan County,Sheridan,WY,491.91,443
328,Dillingham Airport,Dillingham,AK,502.11,442
329,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,444.97,429
330,Waterloo Regional,Waterloo,IA,286.82,416
330,Alpena County Regional,Alpena,MI,502.61,416
332,Cedar City Regional,Cedar City,UT,351.08,413
333,North Platte Regional Airport Lee Bird Field,North Platte,NE,428.79,408
333,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,439.03,408
335,Ogden-Hinckley,Ogden,UT,100.06,396
336,Pierre Regional,Pierre,SD,418.19,355
337,Prescott Regional Ernest A Love Field,Prescott,AZ,346.29,329
338,Riverton Regional,Riverton/Lander,WY,453.11,327
339,Wrangell Airport,Wrangell,AK,435.71,324
340,Barkley Regional,Paducah,KY,583.87,322
341,Shenandoah Valley Regional,Staunton,VA,441.07,307
342,Muskegon County,Muskegon,MI,369.83,300
342,Presque Isle International,Presque Isle/Houlton,ME,382.69,300
344,Falls International Einarson Field,International Falls,MN,482.48,292
345,Pueblo Memorial,Pueblo,CO,350.56,281
346,Vernal Regional,Vernal,UT,443.59,264
347,Salina Regional,Salina,KS,418.7,263
348,Hays Regional,Hays,KS,433.89,256
349,Watertown Regional,Watertown,SD,396.35,232
350,Canyonlands Field,Moab,UT,421.33,205
351,Jamestown Regional,Jamestown,ND,391.41,198
351,Southwest Oregon Regional,North Bend/Coos Bay,OR,382.68,198
353,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,429.09,189
354,Cape Girardeau Regional,Cape Girardeau,MO,384.12,188
355,Yakutat Airport,Yakutat,AK,493.56,185
356,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,297.72,170
357,Devils Lake Regional,Devils Lake,ND,434.38,153
357,Molokai,Hoolehua,HI,233.2,153
359,Liberal Mid-America Regional,Liberal,KS,403.88,145
360,Quincy Regional-Baldwin Field,Quincy,IL,316.84,137
361,Greenbrier Valley,Lewisburg,WV,640.2,122
362,Decatur Airport,Decatur,IL,404.56,119
363,San Luis Valley Regional/Bergman Field,Alamosa,CO,410.6,113
364,Dodge City Regional,Dodge City,KS,368.46,107
365,Veterans Airport of Southern Illinois,Marion/Herrin,IL,329.56,105
366,Lanai Airport,Lanai,HI,582.63,99
367,Kenai Municipal,Kenai,AK,700.75,95
368,Cold Bay Airport,Cold Bay,AK,797.43,88
369,Cortez Municipal,Cortez,CO,369,77
370,Homer Airport,Homer,AK,677.5,66
371,Victoria Regional,Victoria,TX,388.77,64
372,Lebanon Municipal,Lebanon-Hanover,NH,326.83,59
373,Adak,Adak Island,AK,657,55
374,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,409.5,54
375,Rutland - Southern Vermont Regional,Rutland,VT,297.64,53
376,Kapalua Airport,Kapalua,HI,484,52
377,Hancock County-Bar Harbor,Bar Harbor,ME,349.25,49
378,Kirksville Regional,Kirksville,MO,282.33,48
378,Chadron Municipal,Chadron,NE,291.67,48
380,Augusta State,Augusta/Waterville,ME,347,47
381,McCook Ben Nelson Regional,McCook,NE,376.44,43
382,Eugenio Maria de Hostos,Mayaguez,PR,298,42
382,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,374.07,42
384,Knox County Regional,Rockland,ME,316.67,36
385,Provincetown Municipal,Provincetown,MA,383,35
386,Tupelo Regional,Tupelo,MS,288.93,33
386,Eastern Oregon Regional at Pendleton,Pendleton,OR,276,33
388,Clovis Municipal,Clovis,NM,546.45,32
388,DuBois Regional,DuBois,PA,408.25,32
388,Mid-Ohio Valley Regional,Parkersburg,WV,322.43,32
391,John Murtha Johnstown-Cambria County,Johnstown,PA,419.89,31
392,Massena International-Richards Field,Massena,NY,290.89,30
393,Thief River Falls Regional,Thief River Falls,MN,315,29
394,Raleigh County Memorial,Beckley,WV,371.23,28
394,Show Low Regional,Show Low,AZ,348.13,28
396,Mankato Regional,Mankato,MN,154.5,26
396,Cavern City Air Terminal,Carlsbad,NM,354.25,26
398,Bradford Regional,Bradford,PA,418.67,25
398,Antonio Rivera Rodriguez,Vieques,PR,453.67,25
400,Northwest Alabama Regional,Muscle Shoals,AL,464.67,22
400,Altoona-Blair County,Altoona,PA,554,22
402,Imperial County,El Centro,CA,338.85,21
402,Adirondack Regional,Saranac Lake/Lake Placid,NY,196.5,21
404,Benjamin Rivera Noriega,Culebra,PR,364,17
404,Sidney Richland Regional,Sidney,MT,261.56,17
406,Page Municipal,Page,AZ,312,15
406,Alliance Municipal,Alliance,NE,286,15
408,Greenville Mid Delta,Greenville,MS,429.8,14
409,Gogebic-Iron County,Ironwood,MI,262,12
409,Merced Regional/Macready Field,Merced,CA,300,12
411,South Arkansas Regional at Goodwin Field,El Dorado,AR,435,9
411,Lancaster Airport,Lancaster,PA,241.33,9
413,Boone County,Harrison,AR,254,8
413,Memorial Field,Hot Springs,AR,212.67,8
415,Manistee County-Blacker,Manistee/Ludington,MI,363.5,4
415,Havre City-County,Havre,MT,266.63,4
417,Unalaska Airport,Unalaska,AK,1019.41,3
418,Wokal Field Glasgow Valley County,Glasgow,MT,461,2
419,Mason City Municipal,Mason City,IA,393.29, -NaN 
419,Fort Dodge Regional,Fort Dodge,IA,323.84, -NaN 
419,New Castle,Wilmington,DE,98.98, -NaN 
419,St. Paul Island,St. Paul,AK,929, -NaN 
